GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter
Gtf2e2,GTF2E2,Daneman,lung_only
Gtf2h5,GTF2H5,Daneman,lung_only
Gucy1a3,GUCY1A3,Daneman,liver_and_lung
Gucy1b3,GUCY1B3,Daneman,liver_and_lung
Gusb,GUSB,Daneman,lung_only
H2afv,H2AFV,Daneman,liver_only
H2afx,H2AFX,Daneman,lung_only
H2afz,H2AFZ,Daneman,lung_only
H3f3b,H3F3A,Daneman,liver_only
H3f3b,H3F3B,Daneman,liver_only
Hadhb,HADHB,Daneman,lung_only
Hba-a1,HBA1,Munji,NA
Hba-a1,HBA2,Munji,NA
Hcn2,HCN2,Munji,NA
Hdgfrp3,HDGFRP3,Daneman,liver_only
Hdlbp,HDLBP,Daneman,lung_only
Heca,HECA,Daneman,liver_only
Hells,HELLS,Munji,NA
Heph,HEPH,Daneman,lung_only
Hexim1,HEXIM1,Daneman,liver_only
Hiat1,HIAT1,Munji,NA
Higd1a,HIGD1A,Daneman,liver_only
Higd1b,HIGD1B,Daneman,liver_and_lung
Hinfp,HINFP,Munji,NA
Hip1r,HIP1R,Daneman,liver_only
Hist1h1c,HIST1H1C,Daneman,liver_only
Hist1h2bc,HIST1H2BI,Daneman,liver_only
Hist2h2be,HIST1H2BJ,Both,liver_only
H2-T23,HLA-E,Daneman,liver_only
Hlf,HLF,Daneman,liver_only
Hmgcs2,HMGCS2,Munji,NA
Hn1,HN1,Daneman,lung_only
Hs1bp3,HS1BP3,Daneman,liver_only
Hs3st1,HS3ST1,Daneman,liver_only
Hsbp1,HSBP1,Daneman,lung_only
Hspa1a,HSPA1A,Daneman,liver_only
Hspa1a,HSPA1B,Daneman,liver_only
Hspb1,HSPB1,Daneman,liver_only
Hspb8,HSPB8,Daneman,liver_only
Htatip2,HTATIP2,Daneman,liver_only
Htra3,HTRA3,Both,lung_only
Id1,ID1,Daneman,liver_only
Id2,ID2,Daneman,liver_only
Id3,ID3,Daneman,liver_only
Ier5,IER5,Daneman,liver_and_lung
Ifi30,IFI30,Daneman,liver_and_lung
Ifi35,IFI35,Daneman,liver_only
Ifih1,IFIH1,Daneman,liver_only
Ifit1,IFIT1B,Daneman,liver_only
Ifit3,IFIT3,Daneman,liver_only
Ifnar1,IFNAR1,Munji,NA
Ift81,IFT81,Munji,NA
Igf1r,IGF1R,Both,liver_and_lung
Igf2,IGF2,Daneman,liver_and_lung
Igfbp2,IGFBP2,Daneman,lung_only
Igfbp4,IGFBP4,Daneman,lung_only
Igsf5,IGSF5,Munji,NA
Il10rb,IL10RB,Daneman,liver_only
Il13ra1,IL13RA1,Daneman,liver_and_lung
Il17rd,IL17RD,Munji,NA
Il18,IL18,Daneman,liver_only
Il27ra,IL27RA,Daneman,lung_only
Il2rg,IL2RG,Daneman,lung_only
Il6ra,IL6R,Munji,NA
Ildr2,ILDR2,Munji,NA
Impact,IMPACT,Daneman,liver_only
Impad1,IMPAD1,Daneman,lung_only
Impdh2,IMPDH2,Daneman,lung_only
Incenp,INCENP,Daneman,lung_only
Ing5,ING5,Daneman,liver_only
Inhbb,INHBB,Daneman,lung_only
Inpp5f,INPP5F,Both,liver_only
Insig2,INSIG2,Daneman,liver_only
Insr,INSR,Munji,NA
Ints9,INTS9,Munji,NA
Ipo9,IPO9,Daneman,lung_only
Iqgap2,IQGAP2,Daneman,lung_only
Irf7,IRF7,Daneman,liver_only
Irs1,IRS1,Daneman,liver_and_lung
Ism1,ISM1,Munji,NA
Isyna1,ISYNA1,Munji,NA
Itga4,ITGA4,Munji,NA
Itga6,ITGA6,Both,liver_only
Itga8,ITGA8,Daneman,liver_and_lung
Itgb1,ITGB1,Daneman,lung_only
Itgb5,ITGB5,Daneman,liver_and_lung
Itih5,ITIH5,Both,liver_only
Itm2a,ITM2A,Munji,NA
Itpr3,ITPR3,Daneman,liver_only
Itsn1,ITSN1,Daneman,liver_only
Ivns1abp,IVNS1ABP,Daneman,liver_only
Jam2,JAM2,Daneman,liver_only
Jam3,JAM3,Daneman,liver_and_lung
Jmy,JMY,Munji,NA
Jun,JUN,Daneman,liver_only
Junb,JUNB,Munji,NA
Jund,JUND,Munji,NA
Kbtbd11,KBTBD11,Munji,NA
Kbtbd7,KBTBD7,Daneman,liver_only
