GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N
Ap1s1,AP1S1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ap2s1,AP2S1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ap3m1,AP3M1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Apcdd1,APCDD1,Both,lung_only,TRUE,FALSE,TRUE,2
Apex1,APEX1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Aph1a,APH1A,Both,lung_only,TRUE,FALSE,FALSE,1
Apln,APLN,Daneman,lung_only,TRUE,FALSE,FALSE,1
Apod,APOD,Both,lung_only,TRUE,FALSE,TRUE,2
App,APP,Daneman,liver_only,TRUE,FALSE,TRUE,2
Aprt,APRT,Daneman,lung_only,TRUE,FALSE,FALSE,1
Aqp11,AQP11,Both,liver_only,TRUE,FALSE,FALSE,1
Arf4,ARF4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Arfgap3,ARFGAP3,Daneman,liver_only,TRUE,FALSE,FALSE,1
Arhgap12,ARHGAP12,Daneman,liver_only,TRUE,FALSE,FALSE,1
Arhgap18,ARHGAP18,Daneman,lung_only,TRUE,FALSE,FALSE,1
Arhgap26,ARHGAP26,Daneman,liver_only,TRUE,FALSE,TRUE,2
Arhgap6,ARHGAP6,Daneman,liver_only,TRUE,FALSE,TRUE,2
Arhgef15,ARHGEF15,Daneman,liver_only,TRUE,FALSE,FALSE,1
Arhgef3,ARHGEF3,Daneman,liver_only,TRUE,FALSE,TRUE,2
Arhgef7,ARHGEF7,Daneman,lung_only,TRUE,FALSE,FALSE,1
Arhgef9,ARHGEF9,Munji,NA,TRUE,FALSE,FALSE,1
Arid4a,ARID4A,Daneman,liver_only,TRUE,FALSE,FALSE,1
Arid5b,ARID5B,Daneman,liver_only,TRUE,FALSE,TRUE,2
Arl4a,ARL4A,Munji,NA,TRUE,FALSE,TRUE,2
Armcx2,ARMCX2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Arntl,ARNTL,Daneman,liver_only,TRUE,FALSE,FALSE,1
Art3,ART3,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Asb13,ASB13,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ash1l,ASH1L,Daneman,liver_only,TRUE,FALSE,FALSE,1
Aspn,ASPN,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2
Atf2,ATF2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Atf4,ATF4,Daneman,liver_only,TRUE,FALSE,TRUE,2
Atf7ip,ATF7IP,Daneman,liver_only,TRUE,FALSE,FALSE,1
Atp10a,ATP10A,Both,liver_only,TRUE,FALSE,TRUE,2
Atp11a,ATP11A,Daneman,liver_only,TRUE,TRUE,TRUE,3
Atp13a2,ATP13A2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Atp13a5,ATP13A5,Daneman,liver_and_lung,FALSE,FALSE,FALSE,0
Atp1a2,ATP1A2,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Atp1b1,ATP1B1,Daneman,lung_only,TRUE,FALSE,TRUE,2
Atp1b2,ATP1B2,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Atp2a3,ATP2A3,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Atp2c1,ATP2C1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Atp5a1,ATP5A1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Atp5d,ATP5D,Daneman,lung_only,TRUE,FALSE,FALSE,1
